product_name,rating,customers_rated,price
"Voyager Step-in Air Dog Harness - All Weather Mesh Step in Vest Harness for Small and Medium Dogs by Best Pet Supplies - Harness (Fuchsia), Small",4.6,50488,11.58
Purina Fancy Feast Gravy Lovers Poultry and Beef Gourmet Wet Cat Food Variety Pack - (24) 3 oz. Cans,4.7,81899,19.76
"Outward Hound Nina Ottosson Dog Brick Interactive Treat Puzzle Dog Toy, Intermediate",4.4,129877,7.28
"Fresh Step Clumping Cat Litter, Advanced, Simply Unscented, Extra Large, 37 Pounds total (2 Pack of 18.5lb Boxes)",4.5,14289,32.39
"Vet's Best Dog Toothbrush & Enzymatic Toothpaste Kit - Dog Teeth Cleaning - Made with Natural Ingredients - Reduces Plaque, Whitens Teeth, Freshens Breath - Bonus Care Guide & Finger Brush Included",4.4,41222,12.18
"Best Pet Supplies Dog Poop Bags for Waste Refuse Cleanup, Doggy Roll Replacements for Outdoor Puppy Walking and Travel, Leak Proof and Tear Resistant, Thick Plastic - Assorted Colors, 150 Bags",4.8,40039,6.99
"Purina Friskies Gravy Wet Cat Food Variety Pack, Poultry Shreds, Meaty Bits & Prime Filets - (32) 5.5 oz. Cans",4.7,31917,23.99
Zesty Paws Dog Allergy Relief - Anti Itch Supplement - Omega 3 Probiotics for Dogs - Salmon Oil Digestive Health - Soft Chews for Skin & Seasonal Allergies - with Epicor Pets - Lamb - 90 Count,4.3,72279,27.99
"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",4.4,259446,34.99
Purina Fancy Feast Chicken and Beef Classic Pate Collection Grain Free Wet Cat Food Variety Pack - (24) 3 Oz. Pull-Top Cans,4.6,19777,18.99
"Nutramax Proviable Digestive Health Supplement Multi-Strain Probiotics and Prebiotics for Cats and Dogs - with 7 Strains of Bacteria, 80 Capsules",4.7,11554,39.14
Purina Friskies Wet Cat Food Pate Variety Pack Seafood And Chicken Pate Favorites - (40) 5.5 oz. Cans,4.7,26646,25.18
"Oxyfresh Premium Pet Dental Care Solution Pet Water Additive: Best Way to Eliminate Bad Dog Breath and Cat Bad Breath - Fights Tartar & Plaque - So Easy, Just Add to Water! Vet Recommended 16 oz.",4.3,31095,17.95
"INABA Churu Cat Treats, Grain-Free, Lickable, Squeezable Creamy Purée Cat Treat/Topper with Vitamin E & Taurine, 0.5 Ounces Each Tube, 20 Tubes, Seafood Variety Box",4.8,13131,13.99
"Purina Friskies Dry Cat Food, Gravy Swirlers - 3.15 lb. Bag",4.7,23132,5.24
"Bedsure Orthopedic Dog Bed for Medium Dogs - Waterproof Dog Sofa Bed Medium, Supportive Foam Pet Couch Bed with Removable Washable Cover, Waterproof Lining and Nonskid Bottom, Grey",4.6,30323,33.99
"Cat's Pride Premium Lightweight Clumping Litter: Pure & Fresh - Up to 10 Days of Powerful Odor Control - Multi-Cat, Scented, 10 Pounds",4.4,15606,10.99
"Purina ONE Natural, Low Fat, Weight Control, Indoor Dry Cat Food, +Plus Indoor Advantage - 16 Lb. Bag",4.8,21192,33.92
"CAPSTAR (nitenpyram) Oral Flea Treatment for Dogs, Fast Acting Tablets Start Killing Fleas in 30 Minutes, Medium & Large Dogs (Over 25 lbs), 6 Doses",4.1,41423,36.99
"Gamma2 Vittles Vault Dog Food Storage Container, Up To 50 Pounds Dry Pet Food Storage",4.7,84830,29.99
"ökocat Less Mess Natural Wood Clumping Cat Litter Mini-Pellets, Great for Long-Hair Breeds, Medium, 14.8 lbs.",4.3,12609,15.99
"IAMS Adult Minichunks Small Kibble High Protein Dry Dog Food with Real Chicken, 30 lb. Bag",4.8,22256,39.47
"rabbitgoo Dog Harness, No-Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Dog Vest, Reflective No-Choke Pet Oxford Vest with Easy Control Handle for Large Dogs, Black, L",4.5,158740,16.98
"FELINE GREENIES Adult Dental Cat Treats, Savory Salmon Flavor, 9.75 oz. Tub",4.8,37164,10.98
Vet's Best Flea and Tick Home Spray - Dog Flea and Tick Treatment for Home - Plant-Based Formula - Certified Natural Oils - 32 oz,4.2,71533,10.49
"gonicc Dog & Cat Pets Nail Clippers and Trimmers - with Safety Guard to Avoid Over Cutting, Free Nail File, Razor Sharp Blade - Professional Grooming Tool for Pets",4.5,70870,12.70
Seresto Large Dog Vet-Recommended Flea & Tick Treatment & Prevention Collar for Dogs Over 18 lbs. | 8 Months Protection,4.5,96135,67.98
"Chom Chom Roller Pet Hair Remover and Reusable Lint Roller - ChomChom Cat and Dog Hair Remover for Furniture, Couch, Carpet, Clothing and Bedding - Portable, Multi-Surface Fur Removal Tool",4.5,148702,24.99
"Hill's Science Diet Dry Dog Food, Adult, Sensitive Stomach & Skin, Chicken Recipe, 30 lb. Bag",4.7,17373,79.99
"Kaytee Wild Bird Food Basic Blend, 10 lb",4.6,4100,10.89
"Blue Buffalo Cat Food, Natural Chicken Recipe, High Protein, Adult Dry Cat Food, 12 lb bag",4.7,17883,46.98
Purina Fancy Feast Dry Cat Food with Savory Chicken and Turkey - 3 lb. Bag,4.7,5406,8.98
"GREENIES Original Regular Natural Dog Dental Care Chews Oral Health Dog Treats, 36 count (Pack of 1)",4.8,18263,39.88
"Zymox Otic Enzymatic Solution for Dogs and Cats to Soothe Ear Infections with 1% Hydrocortisone for Itch Relief, 1.25oz",4.7,70181,23.79
"Multipet Plush Dog Toy, Lambchop, 10"", White/Tan, Small",4.5,57969,6.99
"Purina Fancy Feast Grain Free Pate Wet Kitten Food Variety Pack, Kitten Classic Pate Collection, 4 Flavors - (24) 3 oz. Boxes",4.7,25798,20.99
"Dreambone Chicken & Vegetable Twist Sticks, Dog Chew Sticks, Rawhide Free Treats for Dogs 50 Count (Pack of 1)",4.6,22854,10.89
"Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Delights With Cheddar Grilled Collection - (24) 3 oz. Cans",4.7,10090,20.99
"Kaytee Clean & Cozy White Bedding Pet For Guinea Pigs, Rabbits, Hamsters, Gerbils, and Chinchillas, 49.2 Liters",4.7,32319,14.95
"Purina Friskies Gravy Wet Cat Food Variety Pack, Tasty Treasures Prime Filets 5.5 Ounce (Pack of 12)",4.6,20851,9.36
"VetIQ Hip & Joint Supplement for Dogs, Anti Inflammatory Joint Support, Glucosamine, MSM, and Krill, Chicken Flavored Soft Chews, 180 Count",4.6,28831,22.99
"Temptations Creamy Puree with Chicken and Salmon, Variety Pack of Lickable Cat Treats, 0.42 Oz Pouches, 16 Count",4.7,8474,8.49
"ORAVET Dental Chews for Dogs, Oral Care and Hygiene Chews (Small Dogs, 10-24 lbs.) Blue Pouch, 30 Count",4.5,11793,30.49
"Purina Friskies Wet Cat Food, Shreds With Ocean Whitefish & Tuna in Sauce - (24) 5.5 oz. Cans",4.6,15436,17.52
"Milo's Kitchen Dog Treats, Chicken Meatballs, 18 Ounce",4.7,14818,12.99
"Nylabone Puppy Chew Teething Pacifier - Puppy Chew Toy for Teething - Puppy Supplies - Bacon Flavor, Small/Regular (1 Count)",4.4,87627,8.59
"IAMS PROACTIVE HEALTH Adult Healthy Dry Cat Food with Chicken Cat Kibble, 22 lb. Bag",4.8,19451,39.98
"PEDIGREE CHOICE CUTS IN GRAVY Adult Soft Wet Dog Food 30-Count Variety Pack, 3.5 oz Pouches",4.7,22343,25.97
"Van Ness Pets Odor Control Large Enclosed Cat Litter Box, Hooded, Pearl, CP6",4.3,44143,18.62
"Pet Honesty Dog Multivitamin - 10 in 1 Dog Vitamins for Health & Heart - Fish Oil, Glucosamine, Probiotics, Omega Fish Oil - Dog Vitamins and Supplements for Skin and Coat (90 ct)",4.5,26952,28.99
"Joytale Reflective Dog Collar,Soft Neoprene Padded Breathable Nylon Pet Collar Adjustable for Large Dogs,Teal,L",4.6,46069,8.99
"FRONTLINE Plus Flea and Tick Treatment for Large Dogs Up to 45 to 88 lbs., 3 Treatments",4.5,41731,34.99
"Outward Hound Squeaker Ballz Fetch Dog Toy, Medium - 4 Pack",4.2,28096,4.91
"BENCMATE Protective Inflatable Collar for Dogs and Cats - Soft Pet Recovery Collar Does Not Block Vision E-Collar (Large, Blue)",4.1,48905,14.43
"Redbarn Bully Sticks for Dogs - All Natural, Healthy Single Ingredient & Long-Lasting Dog Chew Treat Beef Rawhide Alternative 5-8'' Variety Pack Small and Large",4.6,568,25.27
Native Pet Omega 3 Oil Supplements with Omega 3 EPA DHA - Supports Itchy Skin + Mobility - Liquid Pump is Easy to Serve - a Fish Oil Dogs Love! (8 oz),4.3,7274,11.99
"FELIWAY MultiCat Calming Pheromone, 30 Day Refill - 1 Pack",4.4,20059,0
"Vital Essentials Freeze Dried Dog Treats, Raw Chicken Hearts Treats for Dogs",4.6,8613,9.99
"SmartBones SmartSticks, Treat Your Dog to a Rawhide-Free Chew Made With Real Meat and Vegetables 10 Count (Pack of 1)",4.6,26874,8.16
Casfuy Dog Nail Grinder Upgraded - Professional 2-Speed Electric Rechargeable Pet Nail Trimmer Painless Paws Grooming & Smoothing for Small Medium Large Dogs & Cats (Dark Blue),4.5,87103,19.98
"Dog Bark Collar, DINJOO Bark Collar for Large Medium Small Dogs,Smart Bark Collar,Rechargeable Anti Barking Training Collar with 8 Adjustable Sensitivity,Bark Shock Collar with Beep Vibration",4.4,7261,33.90
"Washable Dog Bed Deluxe Plush Dog Crate Beds Fulffy Comfy Kennel Pad Anti-Slip Pet Sleeping Mat for Large, Jumbo, Medium, Small Dogs Breeds, 35"" x 23"", Gray",4.6,10175,24.99
"Ultra Absorbent Odor Control Training Pads For Dogs Leak-proof Quick Dry Gel â€“ Extra Large 30 x 28 Pee Pads - Fresh Scented - 50 Count, Pack of 1",4.5,60931,29.52
"NaturVet Quiet Moments Calming Aid Dog Supplement – Helps Promote Relaxation, Reduce Stress, Storm Anxiety, Motion Sickness for Dogs – Tasty Pet Soft Chews with Melatonin – 70 Ct.",3.9,52535,15.99
"Old Mother Hubbard By Wellness Classic P-Nuttier Natural Dog Treats, Crunchy Oven-Baked Biscuits, Ideal For Training, Mini Size, 6 Pound Box",4.6,24705,17.99
"Blue Buffalo Nudges Grillers Natural Dog Treats, Steak, 16oz Bag",4.7,2955,14.98
"PEDIGREE DENTASTIX Dental Dog Treats for Large Dogs Fresh Flavor Dental Bones, 1.87 lb. Value Pack (36 Treats)",4.8,17752,16.98
"Hill's Pet Nutrition Science Diet Dry Cat Food, Adult, Chicken Recipe, 7 lb. Bag",4.7,13347,32.49
Purina Fancy Feast Seafood Classic Pate Collection Grain Free Wet Cat Food Variety Pack - (30) 3 oz. Cans,4.7,14959,25.74
"IRIS USA Cat Litter Box with Shield and Scoop, Black",4.3,46787,15.17
"Fruitables Dog Treats Pumpkin & Banana Flavor, 7 oz",4.6,15558,4.99
"Purina Beneful Small Breed Wet Dog Food Variety Pack, IncrediBites With Real Beef, Chicken or Salmon - (30) 3 Oz. Cans",4.7,7511,26.49
"Veken 95oz/2.8L Pet Fountain, Automatic Cat Water Fountain Dog Water Dispenser with Smart Pump for Cats, Dogs, Multiple Pets (Grey, Plastic)",4.4,27212,23.99
"FELINE GREENIES PILL POCKETS for Cats Natural Soft Cat Treats, Chicken Flavor, 3 oz. Pack (85 Treats)",4.4,26315,6.48
"Amazon Basics Flea and Tick Topical Treatment for Small Dogs (5-22 pounds), 3 Count (Previously Solimo)",4.0,27430,21.54
"Purina Friskies Wet Cat Food Variety Pack, Oceans of Delight Flaked & Prime Filets - (40) 5.5 oz. Cans",4.7,17214,25.18
"PetSafe Gentle Leader No-Pull Dog Headcollar - The Ultimate Solution to Pulling - Redirects Your Dog's Pulling For Easier Walks - Helps You Regain Control - Medium , Black",4.3,62751,19.95
"Hartz Delectables Stew Lickable Wet Cat Treats for Adult & Senior Cats, Variety Pack, 12 Count",4.7,12245,12.94
"Weruva Best Feline Friend (BFF) Pouch Variety Pack Cat Food, Pouch 3oz Variety #1 (12 pouches)",4.2,15121,16.99
"Rachael Ray Nutrish Indoor Complete Premium Natural Dry Cat Food, Chicken with Lentils & Salmon Recipe, 14 Pounds (Packaging May Vary)",4.6,22321,26.52
"Wahl Dry Skin & Itch Relief Pet Shampoo for Dogs – Oatmeal Formula with Coconut Lime Verbena & Pet Friendly Formula, 24 Oz - Model 820004A",4.6,30381,8.97
"Vital Essentials Freeze-Dried Raw Cat Treats, Minnows Treats, 0.5 oz",4.3,4760,6.99
"CESAR Small Breed Adult Dry Dog Food Filet Mignon Flavor with Spring Vegetables Garnish Dog Kibble, 12 lb. Bag",4.7,20444,15.98
"Terramycin Antibiotic Ointment for Eye Infection Treatment in Dogs, Cats, Cattle, Horses, and Sheep, 0.125oz Tube",4.7,14082,22.95
Amazon Brand - Wag Dog Treats Chicken and Waffle Bites 12oz,4.6,24865,14.29
"MeoHui Cat Toys for Indoor Cats, Interactive Cat Toy 2PCS Retractable Cat Wand Toy and 9PCS Cat Feather Toys Refills, Funny Kitten Toys Cat Fishing Pole Toy for Bored Indoor Cats Chase and Exercise",4.6,31701,10.98
9Lives Seafood & Poultry Favorites Wet Cat Food Variety 5.5 Ounce Can (Pack of 24),4.5,16135,15.32
"Hoki Found -Waterproof Pet Feeding Mats with High Lips - Multiple Size and Colors for Dogs, Cats & Others-G",4.6,25081,12.95
"Purina Pro Plan High Protein Dog Food With Probiotics for Dogs, Shredded Blend Beef & Rice Formula - 35 lb. Bag",4.7,10234,69.48
"Old Mother Hubbard by Wellness Classic Original Mix Natural Dog Treats, Crunchy Oven-Baked Biscuits, Ideal for Training, Mini Size, 3.8 pound bag",4.7,16729,12.49
"Virbac Epi-Otic Advanced Ear Cleanser for Dogs & Cats, 8 oz",4.7,16841,20.08
"BV Pet Potty Training Pads for Dogs Puppy Pads, Pee Pads, Quick Absorb, 22"" x 22"" Training Pad, 100 Count Dog Pee Pads, Doggie Pads, Disposable Puppy Pee Pads",4.4,17410,23.99
Purina Pro Plan Veterinary Supplements FortiFlora Cat Probiotic Supplement for Cats with Diarrhea - 30 ct. Box,4.7,16572,30.99
"K9 Advantix II Large Dog Vet-Recommended Flea, Tick & Mosquito Treatment & Prevention | Dogs 21-55 lbs. | 2-Mo Supply",4.5,38102,31.98
"IRIS USA 33qt/25lbs Airtight Pet Food Storage Container, Black",4.6,53434,19.99
"Oxbow Animal Health Western Timothy Hay- Veterinarian Recommended- Hay for Rabbits, Chinchillas, Guinea Pigs & Other Small Pets- Grown in the USA- Premium Quality Natural Hay- Fiber Rich- 40 Oz",4.7,15935,11.89
"PetSafe Easy Walk No-Pull Dog Harness - The Ultimate Harness to Help Stop Pulling - Take Control & Teach Better Leash Manners - Helps Prevent Pets Pulling on Walks - Large, Black/Silver",4.3,39843,22.95
Simple Solution True Fit Disposable Dog Diapers for Female Dogs - Super Absorbent with Wetness Indicator - L/XL (Waist 18-27in) - 30 Count,4.3,19929,14.06
"Pupford Freeze Dried Dog Training Treats, 475+ for Puppy , Low Calorie, Vet Approved, All Natural, Healthy for Small to Large Dogs (Chicken)",4.5,15160,16.89
"Purina Beneful High Protein, Gravy Wet Dog Food, Prepared Meals Beef Stew - (8) 10 Oz. Tubs",4.7,15754,13.80
"Jonny Cat Litter Box Liners: Heavy Duty - Tear & Leak Resistant - Drawstring Close - Jumbo, 15 Count",4.7,8839,9.84
"Nature's Miracle Stain and Odor Remover, Spot Stain and Pet Odor Eliminator, Enzymatic Formula, 32 Ounce",4.6,20562,10.75
"GORILLA SUPPLY Dog Poop Waste Bags with Dispenser and Leash Tie, 9"" x 13"", Blue, 1000 Count",4.7,35003,18.99
"Nutramax Denamarin Liver Health Supplement for Medium Dogs - With S-Adenosylmethionine (SAMe) and Silybin, 30 Tablets",4.6,11400,49.99
"IAMS Adult High Protein Large Breed Dry Dog Food with Real Chicken, 30 lb. Bag",4.7,9740,46.98
"Royal Canin Small Breed Adult Dry Dog Food, 14 lb bag",4.7,11214,59.99
"Nature′s Recipe Dry Dog Food, Grain Free Salmon, Sweet Potato & Pumpkin Recipe, 24 lb. Bag",4.6,16517,48.21
"Good'n'Fun Triple Flavor Wings, Dog Chew Sticks, Premium Chicken and Beef Hide Treats for Dogs, 12 oz",4.7,15019,9.94
"Hill's Science Diet Dry Dog Food, Adult, Small Bites, Chicken & Barley Recipe, 5 lb. Bag",4.8,11033,18.99
"Hill's Science Diet Dry Cat Food, Adult, Perfect Weight for Weight Management, Chicken Recipe, 7 lb. Bag",4.8,9108,37.49
"CESAR Simply Crafted Adult Wet Dog Food Meal Topper, Chicken, (10) 1.3 oz. Tubs",4.6,16692,19.70
"ScratchMe Super-Absorbent Waterproof Dog and Puppy Pet Training Pad, Housebreaking Pet Pad, 50-Count Small-Size, 17.1’’X23.6’’, Blue",4.4,7333,13.99
Feline Pine Platinum Non-Clumping Cat Litter 18lb.,4.2,7336,17.79
Vceoa Carriers Soft-Sided Pet Carrier for Cats,4.8,26878,19.99
"Amazon Brand – Wag Chicken Flavor Training Treats for Dogs, 1 lb. Bag (16 oz)",4.5,17919,11.32
"PETARMOR Home Carpet Powder for Fleas and Ticks, Protect Your Home From Fleas and Deodorizes Carpets, 16 Ounce",4.3,11356,8.99
"BoxiePro Deep Clean Probiotic Clumping Clay Cat Litter -Scent Free- 28 lb- Cat Activated Probiotics- Longer Lasting Odor Control, Stays Ultra Clean, 99.9% Dust Free",4.2,6168,29.99
Nylabone Healthy Edibles All-Natural Long Lasting Bacon Flavor Chew Treats 1 count pack of 3 Bacon Small/Regular,4.4,26992,5.84
"Amazon Basics Male Dog Wrap, Disposable Diapers, Medium, Pack of 30, White",4.3,28717,10.88
"Canine Carry Outs Beef Flavor Dog Treats, 47 Ounce",4.8,8571,9.98
"Blue Buffalo Tastefuls Indoor Natural Adult Dry Cat Food, Chicken 7lb bag",4.7,13311,28.98
"Vansky UV Flashlight Black Light, 51 LED Blacklight Pet Urine Detector for Dog/Cat Urine, Dry Stains, Bed Bug, Resin Curing, Scorpions Finder",4.4,60706,12.99
"Purina Pro Plan High Protein Dry Puppy Food, Chicken and Rice Formula - 6 lb. Bag",4.7,11682,19.98
"TUG 360° Tangle-Free Retractable Dog Leash | 16 ft Strong Nylon Tape | One-Handed Brake, Pause, Lock (Medium, White)",4.5,95957,17.99
"DreamBone Spirals Variety, Rawhide Free Dog Chew Sticks Made with Real Chicken Beef and Pork, 18 Count",4.7,7678,9.99
"Rachael Ray Nutrish Premium Natural Wet Dog Food, Savory Favorites Variety Pack, 8 Ounce Tub (Pack of 6)",4.5,14933,14.58
"Pedigree Complete Nutrition Adult Dry Dog Food Grilled Steak & Vegetable Flavor Dog Kibble, 30 lb. Bag",4.7,2046,26.99
"Purina ONE High Protein, Grain Free Pate Wet Cat Food Variety Pack, Grain Free Formula - (24) 3 oz. Cans",4.5,11112,28.36
"Hi Kiss Dog/Puppy Obedience Recall Training Agility Lead - 15ft 20ft 30ft 50ft 100ft Training Leash - Great for Play, Camping, or Backyard - Black 30ft",4.5,51304,9.97
"Potaroma Cat Toys Flapping Bird (No Flying), Lifelike Sandpiper Chirp Tweet, Rechargeable Touch Activated Kitten Toy Interactive Cat Exercise Toys for All Breeds Cat Kicker Catnip Toys 4.0""",4.4,1974,16.98
"Reopet Silicone Dog Cat Bowl Mat Non-Stick Food Pad Water Cushion Waterproof - Multiple Colors, Sizes & Purposes",4.5,37050,9.97
"Aqueon Replacement Filter Cartridges Large (6 pack), Ensure Even Distribution of Activated Carbon, 25% More Activated Carbon, Easy Installation",4.7,42628,18.85
"Purina ONE Plus Healthy Puppy Formula High Protein Natural Dry Puppy Food With added vitamins, Minerals And Nutrients - 16.5 lb. Bag",4.7,16120,31.58
"PetNC Natural Care Hip and Joint Soft Chews for Dogs, 90 Count,Liver,0.03 pounds",4.5,23296,9.99
"Best Bully Sticks 4 Inch All-Natural Bully Sticks for Dogs - 4” Fully Digestible, 100% Grass-Fed Beef, Grain and Rawhide Free | 8 oz",4.3,11443,22.99
Advantage II Small Cat Vet-Recommended Flea Treatment & Prevention | Cats 5-9 lbs. | 2-Month Supply,4.5,32832,29.98
